a	b	type
M_cpd00938_c0	R_rxn02483_LSQBKT_c0_RSQBKT_	reactantsIn
M_cpd02255_c0	R_rxn02483_LSQBKT_c0_RSQBKT_	productsOf
M_cpd02152_c0	R_rxn00802_LSQBKT_c0_RSQBKT_	reactantsIn
M_cpd00106_c0	R_rxn00802_LSQBKT_c0_RSQBKT_	productsOf
M_cpd00051_c0	R_rxn00802_LSQBKT_c0_RSQBKT_	productsOf
M_cpd03671_c0	R_rxn03638_LSQBKT_c0_RSQBKT_	reactantsIn
M_cpd02611_c0	R_rxn03638_LSQBKT_c0_RSQBKT_	productsOf
M_cpd00790_c0	R_rxn06078_LSQBKT_c0_RSQBKT_	reactantsIn
M_cpd00268_c0	R_rxn06078_LSQBKT_c0_RSQBKT_	reactantsIn
M_cpd11421_c0	R_rxn06078_LSQBKT_c0_RSQBKT_	reactantsIn
M_cpd11420_c0	R_rxn06078_LSQBKT_c0_RSQBKT_	productsOf
M_cpd00135_c0	R_rxn06078_LSQBKT_c0_RSQBKT_	productsOf
M_cpd00081_c0	R_rxn06078_LSQBKT_c0_RSQBKT_	productsOf
M_cpd00029_c0	R_rxn06078_LSQBKT_c0_RSQBKT_	productsOf
M_cpd11590_c0	R_rxn12636_LSQBKT_c0_RSQBKT_	reactantsIn
M_cpd00060_c0	R_rxn12636_LSQBKT_c0_RSQBKT_	productsOf
M_cpd11582_c0	R_rxn12644_LSQBKT_c0_RSQBKT_	reactantsIn
M_cpd00161_c0	R_rxn12644_LSQBKT_c0_RSQBKT_	productsOf
M_cpd03760_c0	R_rxn03492_LSQBKT_c0_RSQBKT_	reactantsIn
M_cpd03761_c0	R_rxn03492_LSQBKT_c0_RSQBKT_	productsOf
M_cpd00254_c0	R_rxn05616_LSQBKT_c0_RSQBKT_	reactantsIn
M_cpd00254_e0	R_rxn05616_LSQBKT_c0_RSQBKT_	productsOf
M_cpd02857_c0	R_rxn02212_LSQBKT_c0_RSQBKT_	reactantsIn
M_cpd00699_c0	R_rxn02212_LSQBKT_c0_RSQBKT_	productsOf
M_cpd03518_c0	R_rxn03419_LSQBKT_c0_RSQBKT_	reactantsIn
M_cpd03519_c0	R_rxn03419_LSQBKT_c0_RSQBKT_	productsOf
M_cpd00135_c0	R_rxn03052_LSQBKT_c0_RSQBKT_	reactantsIn
M_cpd02738_c0	R_rxn03052_LSQBKT_c0_RSQBKT_	reactantsIn
M_cpd00060_c0	R_rxn03052_LSQBKT_c0_RSQBKT_	productsOf
M_cpd02555_c0	R_rxn03052_LSQBKT_c0_RSQBKT_	productsOf
M_cpd00130_c0	R_rxn00248_LSQBKT_c0_RSQBKT_	reactantsIn
M_cpd00032_c0	R_rxn00248_LSQBKT_c0_RSQBKT_	productsOf
M_cpd00227_c0	R_rxn01302_LSQBKT_c0_RSQBKT_	reactantsIn
M_cpd00346_c0	R_rxn01302_LSQBKT_c0_RSQBKT_	productsOf
M_cpd02656_c0	R_rxn00048_LSQBKT_c0_RSQBKT_	reactantsIn
M_cpd02882_c0	R_rxn00048_LSQBKT_c0_RSQBKT_	productsOf
M_cpd00220_c0	R_rxn00048_LSQBKT_c0_RSQBKT_	productsOf
M_cpd02140_c0	R_rxn05229_LSQBKT_c0_RSQBKT_	reactantsIn
M_cpd00242_c0	R_rxn05229_LSQBKT_c0_RSQBKT_	reactantsIn
M_cpd02893_c0	R_rxn05229_LSQBKT_c0_RSQBKT_	productsOf
M_cpd11589_c0	R_rxn12637_LSQBKT_c0_RSQBKT_	reactantsIn
M_cpd00039_c0	R_rxn00321_LSQBKT_c0_RSQBKT_	reactantsIn
M_cpd00840_c0	R_rxn00321_LSQBKT_c0_RSQBKT_	productsOf
M_cpd08371_c0	R_rxn07586_LSQBKT_c0_RSQBKT_	reactantsIn
M_cpd14960_c0	R_rxn07586_LSQBKT_c0_RSQBKT_	productsOf
M_cpd00071_c0	R_rxn07586_LSQBKT_c0_RSQBKT_	productsOf
M_cpd00123_c0	R_rxn00902_LSQBKT_c0_RSQBKT_	reactantsIn
M_cpd01646_c0	R_rxn00902_LSQBKT_c0_RSQBKT_	productsOf
M_cpd00790_c0	R_rxn00952_LSQBKT_c0_RSQBKT_	reactantsIn
M_cpd00239_c0	R_rxn00952_LSQBKT_c0_RSQBKT_	reactantsIn
M_cpd00135_c0	R_rxn00952_LSQBKT_c0_RSQBKT_	productsOf
M_cpd00029_c0	R_rxn00952_LSQBKT_c0_RSQBKT_	productsOf
M_cpd15687_c0	R_rxn10230_LSQBKT_c0_RSQBKT_	reactantsIn
M_cpd15693_c0	R_rxn10230_LSQBKT_c0_RSQBKT_	productsOf
M_cpd00557_c0	R_rxn02056_LSQBKT_c0_RSQBKT_	reactantsIn
M_cpd03426_c0	R_rxn02056_LSQBKT_c0_RSQBKT_	productsOf
M_cpd10515_c0	R_rxn02056_LSQBKT_c0_RSQBKT_	productsOf
M_cpd00482_c0	R_rxn00459_LSQBKT_c0_RSQBKT_	reactantsIn
M_cpd00061_c0	R_rxn00459_LSQBKT_c0_RSQBKT_	productsOf
M_cpd15682_c0	R_rxn10225_LSQBKT_c0_RSQBKT_	reactantsIn
M_cpd15688_c0	R_rxn10225_LSQBKT_c0_RSQBKT_	productsOf
M_cpd15526_c0	R_rxn08311_LSQBKT_c0_RSQBKT_	reactantsIn
M_cpd15421_c0	R_rxn08311_LSQBKT_c0_RSQBKT_	productsOf
M_cpd00169_c0	R_rxn01101_LSQBKT_c0_RSQBKT_	reactantsIn
M_cpd02069_c0	R_rxn01101_LSQBKT_c0_RSQBKT_	productsOf
M_cpd03518_c0	R_rxn00302_LSQBKT_c0_RSQBKT_	productsOf
