id	x	y
M_cpd00938_c0	7531.0	7571.0
R_rxn02483_LSQBKT_c0_RSQBKT_	7512.0	7480.0
M_cpd02255_c0	7493.0	7389.0
M_cpd02152_c0	3300.0	4587.0
R_rxn00802_LSQBKT_c0_RSQBKT_	3391.0	4592.0
M_cpd00106_c0	3199.0	4587.0
M_cpd00051_c0	3945.0	4368.0
M_cpd03671_c0	2876.0	4908.0
R_rxn03638_LSQBKT_c0_RSQBKT_	3077.0	4688.0
M_cpd02611_c0	3249.0	4688.0
M_cpd00790_c0	3987.0	5322.0
R_rxn06078_LSQBKT_c0_RSQBKT_	3810.0	5203.0
M_cpd00268_c0	3886.0	5323.0
M_cpd11421_c0	3924.0	4836.0
M_cpd11420_c0	3823.0	4833.0
M_cpd00135_c0	3983.0	5038.0
M_cpd00081_c0	3413.0	5133.0
M_cpd00029_c0	3990.0	5437.0
M_cpd11590_c0	4760.0	4963.0
R_rxn12636_LSQBKT_c0_RSQBKT_	4638.0	4785.0
M_cpd00060_c0	4621.0	4589.0
M_cpd11582_c0	5139.0	3983.0
R_rxn12644_LSQBKT_c0_RSQBKT_	4983.0	3973.0
M_cpd00161_c0	4732.0	4003.0
M_cpd03760_c0	451.0	7935.0
R_rxn03492_LSQBKT_c0_RSQBKT_	410.0	8026.0
M_cpd03761_c0	372.0	8117.0
M_cpd00254_c0	4299.0	3802.0
R_rxn05616_LSQBKT_c0_RSQBKT_	4325.0	3529.0
M_cpd00254_e0	4467.0	3477.0
M_cpd02857_c0	2411.0	5267.0
R_rxn02212_LSQBKT_c0_RSQBKT_	2515.0	5481.0
M_cpd00699_c0	2611.0	5599.0
M_cpd03518_c0	106.0	8686.0
R_rxn03419_LSQBKT_c0_RSQBKT_	197.0	8683.0
M_cpd03519_c0	288.0	8681.0
R_rxn03052_LSQBKT_c0_RSQBKT_	4288.0	4862.0
M_cpd02738_c0	4286.0	5063.0
M_cpd02555_c0	4400.0	4989.0
M_cpd00130_c0	2527.0	4778.0
R_rxn00248_LSQBKT_c0_RSQBKT_	2239.0	4754.0
M_cpd00032_c0	2072.0	4829.0
M_cpd00227_c0	3901.0	5203.0
R_rxn01302_LSQBKT_c0_RSQBKT_	3648.0	5288.0
M_cpd00346_c0	3454.0	5234.0
M_cpd02656_c0	3187.0	3728.0
R_rxn00048_LSQBKT_c0_RSQBKT_	3440.0	3723.0
M_cpd02882_c0	3027.0	3508.0
M_cpd00220_c0	3754.0	3733.0
M_cpd02140_c0	2551.0	5717.0
R_rxn05229_LSQBKT_c0_RSQBKT_	2617.0	5498.0
M_cpd00242_c0	2519.0	5298.0
M_cpd02893_c0	2701.0	5398.0
M_cpd11589_c0	2229.0	8394.0
R_rxn12637_LSQBKT_c0_RSQBKT_	2232.0	8485.0
M_cpd00039_c0	4368.0	4478.0
R_rxn00321_LSQBKT_c0_RSQBKT_	4550.0	4417.0
M_cpd00840_c0	4722.0	4367.0
M_cpd08371_c0	5028.0	1769.0
R_rxn07586_LSQBKT_c0_RSQBKT_	5106.0	1577.0
M_cpd14960_c0	5074.0	1417.0
M_cpd00071_c0	5230.0	1455.0
M_cpd00123_c0	4794.0	4185.0
R_rxn00902_LSQBKT_c0_RSQBKT_	5096.0	4074.0
M_cpd01646_c0	5319.0	3917.0
R_rxn00952_LSQBKT_c0_RSQBKT_	3992.0	5160.0
M_cpd00239_c0	3979.0	4937.0
M_cpd15687_c0	921.0	7571.0
