id	x	y
M_cpd00938_c0	19350.0	125.0
R_rxn02483_LSQBKT_c0_RSQBKT_	19350.0	25.0
M_cpd02255_c0	19450.0	25.0
M_cpd02152_c0	2875.0	1975.0
R_rxn00802_LSQBKT_c0_RSQBKT_	2775.0	1975.0
M_cpd00106_c0	10075.0	875.0
M_cpd00051_c0	350.0	1975.0
M_cpd03671_c0	6850.0	10800.0
R_rxn03638_LSQBKT_c0_RSQBKT_	6850.0	10900.0
M_cpd02611_c0	6750.0	10900.0
M_cpd00790_c0	2925.0	7400.0
R_rxn06078_LSQBKT_c0_RSQBKT_	2925.0	7675.0
M_cpd00268_c0	2775.0	7675.0
M_cpd11421_c0	3050.0	8525.0
M_cpd11420_c0	3200.0	8225.0
M_cpd00135_c0	2700.0	7200.0
M_cpd00081_c0	4925.0	7675.0
M_cpd00029_c0	3375.0	7500.0
M_cpd11590_c0	2125.0	6675.0
R_rxn12636_LSQBKT_c0_RSQBKT_	2125.0	6575.0
M_cpd00060_c0	2050.0	6500.0
M_cpd11582_c0	2275.0	5475.0
R_rxn12644_LSQBKT_c0_RSQBKT_	2275.0	5375.0
M_cpd00161_c0	2175.0	5375.0
M_cpd03760_c0	11725.0	125.0
R_rxn03492_LSQBKT_c0_RSQBKT_	11725.0	25.0
M_cpd03761_c0	11825.0	25.0
M_cpd00254_c0	350.0	21875.0
R_rxn05616_LSQBKT_c0_RSQBKT_	450.0	21875.0
M_cpd00254_e0	450.0	21975.0
M_cpd02857_c0	4700.0	9275.0
R_rxn02212_LSQBKT_c0_RSQBKT_	4600.0	9275.0
M_cpd00699_c0	4600.0	9500.0
M_cpd03518_c0	12075.0	300.0
R_rxn03419_LSQBKT_c0_RSQBKT_	12075.0	25.0
M_cpd03519_c0	12325.0	25.0
R_rxn03052_LSQBKT_c0_RSQBKT_	2050.0	7200.0
M_cpd02738_c0	2050.0	7300.0
M_cpd02555_c0	1950.0	7200.0
M_cpd00130_c0	8275.0	14625.0
R_rxn00248_LSQBKT_c0_RSQBKT_	8275.0	14525.0
M_cpd00032_c0	8025.0	14700.0
M_cpd00227_c0	4750.0	9350.0
R_rxn01302_LSQBKT_c0_RSQBKT_	4750.0	9450.0
