id	x	y
M_cpd00938_c0	-12127.139998370181	1331.3434793208287
R_rxn02483_LSQBKT_c0_RSQBKT_	-1493.527813035636	177.17412815924922
M_cpd02255_c0	-12102.04177017488	1542.9144477068214
M_cpd02152_c0	13492.281784848532	-3010.200697336397
R_rxn00802_LSQBKT_c0_RSQBKT_	12667.115283709107	-2975.9594065146734
M_cpd00106_c0	13248.438255207973	-3947.3864515577798
M_cpd00051_c0	11876.637447068175	-2790.2478296556264
M_cpd03671_c0	675.6443958268301	-15433.217702423166
R_rxn03638_LSQBKT_c0_RSQBKT_	720.2396211985498	-14618.267711601666
M_cpd02611_c0	1947.983235941313	-13686.063616412559
M_cpd00790_c0	8043.843530788168	-13188.528547650696
R_rxn06078_LSQBKT_c0_RSQBKT_	7503.9496030084365	-12565.955449368326
M_cpd00268_c0	7795.997053881901	-13336.53380514835
M_cpd11421_c0	4977.949187533181	-12896.627384178304
M_cpd11420_c0	5082.9145147599875	-12855.619628615426
M_cpd00135_c0	8701.01398130966	-10742.221916207738
M_cpd00081_c0	8321.241160492114	-13015.285227336812
M_cpd00029_c0	11076.628801303434	-10767.961664035363
M_cpd11590_c0	11720.258067843642	-7330.656643381
R_rxn12636_LSQBKT_c0_RSQBKT_	11182.01204664316	-6653.927455926104
M_cpd00060_c0	11222.266986431108	-4785.4700589658305
M_cpd11582_c0	13396.874857965746	3409.797653821308
R_rxn12644_LSQBKT_c0_RSQBKT_	12609.963516482225	3209.5115069099293
M_cpd00161_c0	11885.194622176881	2753.5701903125273
M_cpd03760_c0	12008.761788709175	5010.168091195983
R_rxn03492_LSQBKT_c0_RSQBKT_	12758.15577675343	5322.822294243258
M_cpd03761_c0	13507.549764797684	5635.476497290535
M_cpd00254_c0	5073.681521111099	-11094.942803923586
R_rxn05616_LSQBKT_c0_RSQBKT_	5490.329807843972	-11796.96666949178
M_cpd00254_e0	5274.561256639895	-12778.18373439486
M_cpd02857_c0	-1089.3094591677236	-18367.727265564667
R_rxn02212_LSQBKT_c0_RSQBKT_	-1132.8818375344242	-19102.436356187256
M_cpd00699_c0	-1389.2679498876257	-18347.477607655364
M_cpd03518_c0	11635.850151251807	7463.9109893951245
R_rxn03419_LSQBKT_c0_RSQBKT_	10952.378629057328	7025.4926066268345
M_cpd03519_c0	10268.90710686285	6587.074223858544
R_rxn03052_LSQBKT_c0_RSQBKT_	11212.56768653071	-6602.307920338716
M_cpd02738_c0	11986.548531038907	-6886.6269183867535
M_cpd02555_c0	11771.001163703451	-7248.896992239024
M_cpd00130_c0	15066.76271666634	-3410.771941903052
R_rxn00248_LSQBKT_c0_RSQBKT_	15795.37125668617	-3543.6691244319577
M_cpd00032_c0	15875.589174681054	-5864.080862057561
M_cpd00227_c0	15380.949067912967	1437.7446818775747
R_rxn01302_LSQBKT_c0_RSQBKT_	16160.466873689458	943.7448937004568
M_cpd00346_c0	11730.933583643178	-10051.164174171698
M_cpd02656_c0	13812.482738218761	-564.177814530796
R_rxn00048_LSQBKT_c0_RSQBKT_	12991.494577366127	-730.2141098790811
M_cpd02882_c0	13816.075224136559	-468.0185904426971
M_cpd00220_c0	12180.774196423821	-684.6458761546871
M_cpd02140_c0	13353.573111376563	-12658.67627989281
R_rxn05229_LSQBKT_c0_RSQBKT_	12816.527236245114	-12149.577342549295
M_cpd00242_c0	16885.770161969747	1136.9001878494814
M_cpd02893_c0	12007.297241104596	-11926.717442941372
M_cpd11589_c0	-1190.9754630150705	918.473432656622
R_rxn12637_LSQBKT_c0_RSQBKT_	-9660.838197329695	7450.382897879514
M_cpd00039_c0	11973.642313703755	2339.207075802188
R_rxn00321_LSQBKT_c0_RSQBKT_	12752.268319928007	2586.8507294701985
M_cpd00840_c0	13811.09024382734	597.2958034820474
M_cpd08371_c0	17736.98906724134	4894.815505058515
R_rxn07586_LSQBKT_c0_RSQBKT_	18446.46862993099	5090.608125260855
M_cpd14960_c0	19172.547123767858	5241.069813206157
M_cpd00071_c0	19146.948726222698	5333.828875713859
M_cpd00123_c0	4764.872275938681	-12976.862802464659
R_rxn00902_LSQBKT_c0_RSQBKT_	5074.079126127769	-13728.299859115637
M_cpd01646_c0	4199.403056749691	-14866.26106211516
R_rxn00952_LSQBKT_c0_RSQBKT_	10494.403103047453	-10201.960571907144
M_cpd00239_c0	9991.60617223739	-9553.574310115962
M_cpd15687_c0	-1442.8859204763994	424.377450497754
R_rxn10230_LSQBKT_c0_RSQBKT_	-11715.583637371998	3403.689180248621
M_cpd15693_c0	-12495.342154875772	3630.229804376644
M_cpd00557_c0	12199.843439540462	-61.80655872587543
R_rxn02056_LSQBKT_c0_RSQBKT_	13011.833019286927	-65.92024115910583
M_cpd03426_c0	13727.521655964267	1630.3757803132648
M_cpd10515_c0	12004.471357204826	-2175.4694744006256
M_cpd00482_c0	12775.87142727221	-13241.491958001166
R_rxn00459_LSQBKT_c0_RSQBKT_	12262.059206827567	-12708.953694472859
M_cpd00061_c0	11784.564326717189	-12146.84401931072
M_cpd15682_c0	-13003.354230686587	-474.2602147400304
R_rxn10225_LSQBKT_c0_RSQBKT_	-12191.893760711371	-444.66451120721104
M_cpd15688_c0	-1502.12799801621	-75.01651535370222
M_cpd15526_c0	20049.82971485429	-7342.494971421218
R_rxn08311_LSQBKT_c0_RSQBKT_	20740.944114916707	-7595.589590143873
M_cpd15421_c0	21435.814571501203	-7850.0597230987105
M_cpd00169_c0	13835.302560569586	-14270.241030112164
R_rxn01101_LSQBKT_c0_RSQBKT_	14292.942116520171	-14851.476345932882
M_cpd02069_c0	14806.078986606766	-15384.665386103188
R_rxn00302_LSQBKT_c0_RSQBKT_	12319.321673446284	7902.3293721634145
M_cpd00009_e0	8240.007269813193	-13066.865890236484
R_rxn05145_LSQBKT_c0_RSQBKT_	12075.388588222448	-10781.295582787214
M_cpd03470_c0	-5453.239420290193	-16021.359362581974
R_rxn02988_LSQBKT_c0_RSQBKT_	-5216.086016051622	-15324.613883330005
M_cpd00095_c0	-8241.758752339545	-13065.761235696698
M_cpd02333_c0	-3586.818780732867	-15025.82560241473
R_rxn07307_LSQBKT_c0_RSQBKT_	12116.319460841409	-10735.275810282461
M_cpd08366_c0	12082.085001050744	-11850.94924583616
M_cpd02826_c0	14424.761910963074	-13674.122268432038
R_rxn02937_LSQBKT_c0_RSQBKT_	13887.716035831625	-13165.023331088523
M_cpd00079_c0	-9155.866019873425	-15960.266834427524
R_rxn00558_LSQBKT_c0_RSQBKT_	-8787.640973421994	-15318.386537825547
M_cpd00072_c0	-8437.997016117375	-14670.44588129462
M_cpd00118_c0	12149.407990682223	1109.9033633370848
R_rxn01406_LSQBKT_c0_RSQBKT_	13005.9951658993	-395.26414535607324
M_cpd00837_c0	13818.998280496327	-371.83668947472404
M_cpd00147_c0	13823.819751185278	70.59381516661479
M_cpd00264_c0	12194.36989117518	-370.59810738887904
M_cpd00238_c0	-3096.0677999976588	-16638.393557606985
R_rxn01200_LSQBKT_c0_RSQBKT_	-2961.4243409573446	-15914.814163941259
M_cpd00198_c0	-2921.3147424102162	-15169.265775764388
M_cpd00101_c0	-2755.0979910460132	-15200.333518042762
R_rxn05232_LSQBKT_c0_RSQBKT_	5279.7025878971035	-11892.72401863226
M_cpd00115_c0	5200.783992815983	-11035.93429937262
M_cpd00246_c0	-5012.187490387958	-16164.768868165063
R_rxn00835_LSQBKT_c0_RSQBKT_	-4794.214789316961	-15461.786719324986
M_cpd00114_c0	-4867.2586710945925	-14661.190164125643
M_cpd15603_c0	10768.29692641591	-8668.722933889494
R_rxn12844_LSQBKT_c0_RSQBKT_	10791.952566487931	-7269.518815071226
M_cpd00084_c0	9170.547090384694	-8046.183322733631
M_cpd00978_c0	2930.563073476854	-15167.48179733122
R_rxn01678_LSQBKT_c0_RSQBKT_	3130.150511955975	-14297.365273801384
M_cpd00358_c0	2927.6485894585103	-13510.434846319404
M_cpd15419_c0	-1139.8908057806907	981.1549066771504
R_rxn09208_LSQBKT_c0_RSQBKT_	-9138.634043148795	8082.411015619157
M_cpd15555_c0	-9746.877554873132	8620.355093052161
M_cpd00357_c0	-7065.891074603316	-9945.51071196654
R_rxn10060_LSQBKT_c0_RSQBKT_	-7649.23845132787	-10526.219412245178
M_cpd00297_c0	-8062.1089857730285	-11229.664941640858
M_cpd00655_c0	13658.601088707981	-9993.217314736288
R_rxn00100_LSQBKT_c0_RSQBKT_	12763.631640792391	-12205.134466205742
M_cpd00146_c0	15258.377524913752	-2413.0104241811378
R_rxn01018_LSQBKT_c0_RSQBKT_	16157.077160912302	1000.1008030823907
M_cpd00343_c0	16026.310946506794	-5438.670190945257
M_cpd00107_c0	12198.396127729662	-197.8178732824324
R_rxn00806_LSQBKT_c0_RSQBKT_	13009.125786877186	-273.4780817671175
M_cpd00200_c0	13822.15018625141	226.1420542714428
M_cpd01775_c0	-6294.409955926735	-18853.004516700523
R_rxn02834_LSQBKT_c0_RSQBKT_	-6060.063841648924	-18151.09148880968
M_cpd01777_c0	-5826.984463123965	-17452.972585393924
M_cpd02666_c0	10710.147995348352	-8740.463712969447
R_rxn02341_LSQBKT_c0_RSQBKT_	11721.568789200644	-8764.549111051712
M_cpd00834_c0	12371.8771970191	-9250.803133884043
M_cpd02979_c0	-5359.5589703211945	-16052.940654087324
R_rxn03175_LSQBKT_c0_RSQBKT_	-5126.4795917962365	-15354.821750671568
M_cpd02991_c0	-5332.774959461632	-14498.352155736147
M_cpd00290_c0	-7750.964932355927	-13362.755951426663
R_rxn00786_LSQBKT_c0_RSQBKT_	-8464.116616618705	-13798.915678424848
M_cpd00342_c0	15273.112191283604	-2317.9188925551593
R_rxn01637_LSQBKT_c0_RSQBKT_	16143.030567088872	1205.7811202844223
M_cpd00918_c0	16876.985996874973	1260.6028959533953
M_cpd11586_c0	-797.7252037236744	1275.0099997035404
R_rxn12640_LSQBKT_c0_RSQBKT_	-6470.909232332998	10342.501327382442
M_cpd00067_e0	-8598.853688309888	-10824.171619437648
R_rxn05596_LSQBKT_c0_RSQBKT_	-8126.330026546924	-10162.42610303474
M_cpd00205_c0	-7619.215057168189	-9528.250726792487
M_cpd00205_e0	-9066.320833732945	-10435.74638153975
M_cpd01078_c0	-11647.013686459713	-12278.796691346435
R_rxn02569_LSQBKT_c0_RSQBKT_	-11140.502100945983	-11744.809787255737
M_cpd03078_c0	-10631.237735076202	-11207.920780425415
M_cpd00810_c0	2836.0276922389266	-15185.442072223446
R_rxn00710_LSQBKT_c0_RSQBKT_	2942.277739588138	-14337.206760841671
M_cpd00091_c0	2477.551302222601	-13600.1733645147
M_cpd01620_c0	15254.806678135421	2435.48295266359
R_rxn02775_LSQBKT_c0_RSQBKT_	16038.190361120684	2197.2241443365815
M_cpd03420_c0	16767.37914946914	2297.122647563152
M_cpd14961_c0	19777.272714686165	1978.6005076644733
R_rxn07589_LSQBKT_c0_RSQBKT_	19040.948413575894	1904.9355662440814
M_cpd08375_c0	18308.604243822974	1831.668813696232
M_cpd00307_c0	-9833.364684840935	-11914.09429939696
R_rxn00717_LSQBKT_c0_RSQBKT_	-8513.047827990446	-13768.782105848983
M_cpd00092_c0	-5807.234426664319	-14314.912934201337
M_cpd15747_c0	-12015.329016850354	-2114.679317729743
